ADOLPHO JULIO CAMARGO DE CARVALHO,Sócio,Chambers Latin America,2021,Aviation Finance  ,Latin Lawyer 250,2020,Aviation
ALEXANDRE BERTOLDI,Sócio,Chambers Latin America,2021,Corporate and M&A - Eminent Practitioner,Latin Lawyer 250,2020,Management / Corporate and M&A
ALEXANDRE OUTEDA JORGE,Sócio,Chambers Latin America,2021,Environment,Latin Lawyer 250,2020,Environment
ÁLVARO SILAS ULIANI MARTINS DOS SANTOS ,Sócio,Who's Who Legal Brazil,2020,Private Funds,IFLR 1000,2021,M&A
ANA CAROLINA FERNANDES CARPINETTI ,Sócia,The Legal 500 Latin America,2021,Tax,,,
ANDRÉ MORAES MARQUES,Sócio,Chambers Brazil ,2021,Bankruptcy/Restructuring   ,Latin Lawyer 250,2020,Restructuring & insolvency 
ANDRÉ VERTULLO BERNINI,Sócio,Latin Lawyer 250,2020,Pro Bono,The Legal 500 Latin America,2021,Corporate and M&A
ANDRÉ VIVAN DE SOUZA,Sócio,Latin Lawyer 250,2020,Environment,The Legal 500 Latin America,2021,Environment
ANDRÉ ZONARO GIACCHETTA,Sócio,Chambers Latin America,2021,Technology,Latin Lawyer 250,2020,"Litigation / Data, Technology and Privacy Law"
ANDREA MASCITTO,Sócia,,,,,,
ANGELA FAN CHI KUNG,Sócia,Chambers Latin America,2021,Life Sciences - Band 1 ,The Legal 500 Latin America,2021,Life Sciences
ANTONIO JOSÉ LOUREIRO CERQUEIRA MONTEIRO,Sócio,Chambers Latin America,2021,Environment - Band 1  ,Latin Lawyer 250,2020,Environment
ANTONIO JOSÉ MATTOS MORELLO ,Sócio,Chambers Latin America,2021,Corporate/M&A ,Latin Lawyer 250,2020,Management
BIANCA PUMAR,Sócia,Latin Lawyer 250,2020,Maritime  ,Benchmark Litigation  ,2020,Commercial
BRUNO BALDUCCINI,Sócio,Chambers Latin America,2021,Banking & Finance: Regulatory - Star individual ,Chambers FinTech,2021, Fintech Legal - Band 1
CAIO FERREIRA SILVA,Sócio,Chambers Latin America,2021,Investment Funds,Chambers Global,2021,Investment Funds
"CARLOS ALBERTO MOREIRA LIMA JUNIOR
",Sócio,Chambers Latin America,2021,Corporate/M&A - Band 1  ,Latin Lawyer 250,2020,Corporate and M&A / Private Wealth
"CARLOS EDUARDO GAZINEU DE AZEVEDO
",Sócio,,,,,,
ALAN ADUALDO PERETTI DE ARAÚJO,Consultor,,,,,,
ANA LUISA TAVARES NOBRE VARELLA,Consultora,,,,,,
BEATRIZ FERREIRA DA ROSA SEIXAS,Consultora,,,,,,
BRIGIDA MELO E CRUZ GAMA FILHO,Consultora,,,,,,
"CARLOS  VILHENA
",Sócio,Chambers Latin America,2021,Energy & Natural Resources: Mining - Band 1   ,Latin Lawyer 250,2020,Mining & Metals
"CARLOS HENRIQUE TRANJAN BECHARA
",Sócio,Latin Lawyer 250,2020,Tax,The Legal 500 Latin America,2021,Tax
"CELSO  CINTRA MORI
",Sócio,Chambers Brazil ,2021,Dispute Resolution: Litigation ,Latin Lawyer 250,2020,Litigation / Arbitration / Administrative law
CIRO  TORRES FREITAS,Sócio,The Legal 500 Latin America,2021,TMT: Cybersecurity and Data Privacy,Global Data Review - GDR 100 ,2020,Data
CRISTIANE IANAGUI MATSUMOTO,Sócia,Latin Lawyer 250,2020,Tax,The Legal 500 Latin America,2021,Tax
CRISTIANNE SACCAB ZARZUR CHACCUR,Sócia,Chambers Brazil,2021,Competition/Antitrust - Band 1 ,Latin Lawyer 250,2020,Antitrust & Competition / Pro Bono 
"DANIEL  COSTA REBELLO
",Sócio,The Legal 500 Latin America,2021,Compliance / Competition and Antitrust,Latin Lawyer 250,2020,Antitrust & Competition
"DIEGO CALDAS RIVAS DE SIMONE
",Sócio,,,,,,
"DIOGENES MENDES GONÇALVES NETO
",Sócio,Chambers Latin America,2021,Insurance,Latin Lawyer 250,2020, Insurance & Reinsurance / Insurance
"EDUARDO CARVALHO CAIUBY
",Sócio,Latin Lawyer 250,2020,Tax,LACCA Thought Leaders ,2020,Tax
"EDUARDO H.  PAOLIELLO JR.
",Sócio,Latin Lawyer 250,2020,Private Equity,IFLR 1000,2021,M&A
"EIDER  AVELINO SILVA
",Sócio,The Legal 500 Latin America,2021,Dispute Resolution: Litigation,,,
ELINA CUNHA,Consultora,,,,,,
"EMIR NUNES DE OLIVEIRA NETO
",Sócio,The Legal 500 Latin America,2021,Energy and Natural Resources: Hydrocarbons,LACCA Approved,2021,Tax
"ENRICO JUCÁ BENTIVEGNA
",Sócio,Chambers Latin America,2021,Investment Funds   ,Latin Lawyer 250,2020,Project finance & Infrastructure
FERNANDA RAMOS PAZELLO,Consultora,,,,,,
"FERNANDO  ALVES MEIRA
",Sócio,Chambers Latin America,2021,Corporate/M&A - Band 1   ,Latin Lawyer 250,2020,Corporate and M&A / Private  Equity / Banking & Finance / Corporate Governance 
"FERNANDO BOTELHO PENTEADO DE CASTRO
",Sócio,Latin Lawyer 250,2020,,,,
"FERNANDO J.  PRADO FERREIRA
",Sócio,,,,,,
"FERNANDO MIRANDEZ  DEL NERO GOMES
",Sócio,Chambers Latin America,2021,Banking & Finance: Regulatory,Chambers FinTech,2021, Fintech Legal
